iter	Passed	Remaining
1626	91482	130111
1627	91549	130069
1628	91617	130030
1629	91684	129989
1630	91860	130103
1631	91943	130083
1632	92045	130093
1633	92114	130053
1634	92180	130010
1635	92244	129965
1636	92315	129930
1637	92405	129919
1638	92465	129868
1639	92547	129848
1640	92641	129844
1641	92718	129817
1642	92792	129785
1643	92866	129753
1644	92944	129726
1645	93019	129696
1646	93100	129673
1647	93171	129637
1648	93256	129620
1649	93341	129603
1650	93414	129568
1651	93478	129523
1652	93550	129487
1653	93622	129452
1654	93686	129406
1655	93747	129355
1656	93810	129307
1657	93874	129261
1658	93944	129222
1659	94009	129178
